input_value,input_matched_alias,entity_id,pathway_id,pathway_description,pathway_source_system,pathway_data_source,pathway_etl_package_id,entity_relationships_by_group,total_entity_relationships,other_aliases,status,note
R-HSA-1236975,R-HSA-1236975,126101,R-HSA-1236975,Antigen processing-Cross presentation,Reactome,reactome,,,,['Antigen processing-Cross presentation'],ok,
R-HSA-9912633,R-HSA-9912633,126102,R-HSA-9912633,"Antigen processing: Ub, ATP-independent proteasomal degradation",Reactome,reactome,,,,"['Antigen processing: Ub, ATP-independent proteasomal degradation']",ok,
R-HSA-983168,R-HSA-983168,126103,R-HSA-983168,Antigen processing: Ubiquitination & Proteasome degradation,Reactome,reactome,,,,['Antigen processing: Ubiquitination & Proteasome degradation'],ok,
R-HSA-9639775,R-HSA-9639775,126104,R-HSA-9639775,Antimicrobial action and antimicrobial resistance in Mtb,Reactome,reactome,,,,['Antimicrobial action and antimicrobial resistance in Mtb'],ok,
R-HSA-1169410,R-HSA-1169410,126105,R-HSA-1169410,Antimicrobial mechanism of IFN-stimulated genes,Reactome,reactome,,,,['Antimicrobial mechanism of IFN-stimulated genes'],ok,
R-HSA-6803157,R-HSA-6803157,126106,R-HSA-6803157,Antimicrobial peptides,Reactome,reactome,,,,['Antimicrobial peptides'],ok,
R-HSA-9913143,R-HSA-9913143,126107,R-HSA-9913143,Antimicrobial resistance,Reactome,reactome,,,,['Antimicrobial resistance'],ok,
R-HSA-109581,R-HSA-109581,126108,R-HSA-109581,Apoptosis,Reactome,reactome,,,,['Apoptosis'],ok,
R-HSA-140342,R-HSA-140342,126109,R-HSA-140342,Apoptosis induced DNA fragmentation,Reactome,reactome,,,,['Apoptosis induced DNA fragmentation'],ok,
R-HSA-351906,R-HSA-351906,126110,R-HSA-351906,Apoptotic cleavage of cell adhesion  proteins,Reactome,reactome,,,,['Apoptotic cleavage of cell adhesion  proteins'],ok,
R-HSA-111465,R-HSA-111465,126111,R-HSA-111465,Apoptotic cleavage of cellular proteins,Reactome,reactome,,,,['Apoptotic cleavage of cellular proteins'],ok,
R-HSA-75153,R-HSA-75153,126112,R-HSA-75153,Apoptotic execution phase,Reactome,reactome,,,,['Apoptotic execution phase'],ok,
R-HSA-111471,R-HSA-111471,126113,R-HSA-111471,Apoptotic factor-mediated response,Reactome,reactome,,,,['Apoptotic factor-mediated response'],ok,
R-HSA-445717,R-HSA-445717,126114,R-HSA-445717,Aquaporin-mediated transport,Reactome,reactome,,,,['Aquaporin-mediated transport'],ok,
R-HSA-2142753,R-HSA-2142753,126115,R-HSA-2142753,Arachidonate metabolism,Reactome,reactome,,,,['Arachidonate metabolism'],ok,
R-HSA-426048,R-HSA-426048,126116,R-HSA-426048,Arachidonate production from DAG,Reactome,reactome,,,,['Arachidonate production from DAG'],ok,
R-HSA-211957,R-HSA-211957,126117,R-HSA-211957,Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2,Reactome,reactome,,,,['Aromatic amines can be N-hydroxylated or N-dealkylated by CYP1A2'],ok,
R-HSA-8937144,R-HSA-8937144,126118,R-HSA-8937144,Aryl hydrocarbon receptor signalling,Reactome,reactome,,,,['Aryl hydrocarbon receptor signalling'],ok,
R-HSA-446203,R-HSA-446203,126119,R-HSA-446203,Asparagine N-linked glycosylation,Reactome,reactome,,,,['Asparagine N-linked glycosylation'],ok,
R-HSA-8963693,R-HSA-8963693,126120,R-HSA-8963693,Aspartate and asparagine metabolism,Reactome,reactome,,,,['Aspartate and asparagine metabolism'],ok,
R-HSA-9749641,R-HSA-9749641,126121,R-HSA-9749641,Aspirin ADME,Reactome,reactome,,,,['Aspirin ADME'],ok,
R-HSA-175474,R-HSA-175474,126122,R-HSA-175474,Assembly Of The HIV Virion,Reactome,reactome,,,,['Assembly Of The HIV Virion'],ok,
R-HSA-9918476,R-HSA-9918476,126123,R-HSA-9918476,Assembly and Release of Dengue Virus Virions,Reactome,reactome,,,,['Assembly and Release of Dengue Virus Virions'],ok,
R-HSA-9609736,R-HSA-9609736,126124,R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors,Reactome,reactome,,,,['Assembly and cell surface presentation of NMDA receptors'],ok,
R-HSA-9820962,R-HSA-9820962,126125,R-HSA-9820962,Assembly and release of respiratory syncytial virus (RSV) virions,Reactome,reactome,,,,['Assembly and release of respiratory syncytial virus (RSV) virions'],ok,
R-HSA-168316,R-HSA-168316,126126,R-HSA-168316,Assembly of Viral Components at the Budding Site,Reactome,reactome,,,,['Assembly of Viral Components at the Budding Site'],ok,
R-HSA-8963889,R-HSA-8963889,126127,R-HSA-8963889,Assembly of active LPL and LIPC lipase complexes,Reactome,reactome,,,,['Assembly of active LPL and LIPC lipase complexes'],ok,
R-HSA-2022090,R-HSA-2022090,126128,R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,Reactome,reactome,,,,['Assembly of collagen fibrils and other multimeric structures'],ok,
R-HSA-68616,R-HSA-68616,126129,R-HSA-68616,Assembly of the ORC complex at the origin of replication,Reactome,reactome,,,,['Assembly of the ORC complex at the origin of replication'],ok,
R-HSA-9683439,R-HSA-9683439,126130,R-HSA-9683439,Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC),Reactome,reactome,,,,['Assembly of the SARS-CoV-1 Replication-Transcription Complex (RTC)'],ok,
R-HSA-9694271,R-HSA-9694271,126131,R-HSA-9694271,Assembly of the SARS-CoV-2 Replication-Transcription Complex (RTC),Reactome,reactome,,,,['Assembly of the SARS-CoV-2 Replication-Transcription Complex (RTC)'],ok,
R-HSA-68867,R-HSA-68867,126132,R-HSA-68867,Assembly of the pre-replicative complex,Reactome,reactome,,,,['Assembly of the pre-replicative complex'],ok,
R-HSA-390471,R-HSA-390471,126133,R-HSA-390471,Association of TriC/CCT with target proteins during biosynthesis,Reactome,reactome,,,,['Association of TriC/CCT with target proteins during biosynthesis'],ok,
R-HSA-210455,R-HSA-210455,126134,R-HSA-210455,Astrocytic Glutamate-Glutamine Uptake And Metabolism,Reactome,reactome,,,,['Astrocytic Glutamate-Glutamine Uptake And Metabolism'],ok,
R-HSA-4608870,R-HSA-4608870,126135,R-HSA-4608870,Asymmetric localization of PCP proteins,Reactome,reactome,,,,['Asymmetric localization of PCP proteins'],ok,
R-HSA-9754706,R-HSA-9754706,126136,R-HSA-9754706,Atorvastatin ADME,Reactome,reactome,,,,['Atorvastatin ADME'],ok,
R-HSA-9678110,R-HSA-9678110,126137,R-HSA-9678110,Attachment and Entry,Reactome,reactome,,,,['Attachment and Entry'],ok,
R-HSA-9694614,R-HSA-9694614,126138,R-HSA-9694614,Attachment and Entry,Reactome,reactome,,,,['Attachment and Entry'],ok,
R-HSA-162791,R-HSA-162791,126139,R-HSA-162791,Attachment of GPI anchor to uPAR,Reactome,reactome,,,,['Attachment of GPI anchor to uPAR'],ok,
R-HSA-9638630,R-HSA-9638630,126140,R-HSA-9638630,Attachment of bacteria to epithelial cells,Reactome,reactome,,,,['Attachment of bacteria to epithelial cells'],ok,
R-HSA-3371568,R-HSA-3371568,126141,R-HSA-3371568,Attenuation phase,Reactome,reactome,,,,['Attenuation phase'],ok,
R-HSA-174084,R-HSA-174084,126142,R-HSA-174084,Autodegradation of Cdh1 by Cdh1:APC/C,Reactome,reactome,,,,['Autodegradation of Cdh1 by Cdh1:APC/C'],ok,
R-HSA-349425,R-HSA-349425,126143,R-HSA-349425,Autodegradation of the E3 ubiquitin ligase COP1,Reactome,reactome,,,,['Autodegradation of the E3 ubiquitin ligase COP1'],ok,
R-HSA-177539,R-HSA-177539,126144,R-HSA-177539,Autointegration results in viral DNA circles,Reactome,reactome,,,,['Autointegration results in viral DNA circles'],ok,
R-HSA-9612973,R-HSA-9612973,126145,R-HSA-9612973,Autophagy,Reactome,reactome,,,,['Autophagy'],ok,
R-HSA-422475,R-HSA-422475,126146,R-HSA-422475,Axon guidance,Reactome,reactome,,,,['Axon guidance'],ok,
R-HSA-193634,R-HSA-193634,126147,R-HSA-193634,Axonal growth inhibition (RHOA activation),Reactome,reactome,,,,['Axonal growth inhibition (RHOA activation)'],ok,
R-HSA-209563,R-HSA-209563,126148,R-HSA-209563,Axonal growth stimulation,Reactome,reactome,,,,['Axonal growth stimulation'],ok,
R-HSA-9748787,R-HSA-9748787,126149,R-HSA-9748787,Azathioprine ADME,Reactome,reactome,,,,['Azathioprine ADME'],ok,
R-HSA-5250924,R-HSA-5250924,126150,R-HSA-5250924,B-WICH complex positively regulates rRNA expression,Reactome,reactome,,,,['B-WICH complex positively regulates rRNA expression'],ok,
R-HSA-5620922,R-HSA-5620922,126151,R-HSA-5620922,BBSome-mediated cargo-targeting to cilium,Reactome,reactome,,,,['BBSome-mediated cargo-targeting to cilium'],ok,
R-HSA-9859138,R-HSA-9859138,126152,R-HSA-9859138,"BCKDH synthesizes BCAA-CoA from KIC, KMVA, KIV",Reactome,reactome,,,,"['BCKDH synthesizes BCAA-CoA from KIC, KMVA, KIV']",ok,
R-HSA-9024909,R-HSA-9024909,126153,R-HSA-9024909,BDNF activates NTRK2 (TRKB) signaling,Reactome,reactome,,,,['BDNF activates NTRK2 (TRKB) signaling'],ok,
R-HSA-111453,R-HSA-111453,126154,R-HSA-111453,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,Reactome,reactome,,,,['BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members'],ok,
R-HSA-1368108,R-HSA-1368108,126155,R-HSA-1368108,"BMAL1:CLOCK,NPAS2 activates circadian expression",Reactome,reactome,,,,"['BMAL1:CLOCK,NPAS2 activates circadian expression']",ok,
R-HSA-9824439,R-HSA-9824439,126156,R-HSA-9824439,Bacterial Infection Pathways,Reactome,reactome,,,,['Bacterial Infection Pathways'],ok,
R-HSA-73884,R-HSA-73884,126157,R-HSA-73884,Base Excision Repair,Reactome,reactome,,,,['Base Excision Repair'],ok,
R-HSA-73929,R-HSA-73929,126158,R-HSA-73929,"Base-Excision Repair, AP Site Formation",Reactome,reactome,,,,"['Base-Excision Repair, AP Site Formation']",ok,
R-HSA-210991,R-HSA-210991,126159,R-HSA-210991,Basigin interactions,Reactome,reactome,,,,['Basigin interactions'],ok,
R-HSA-1461957,R-HSA-1461957,126160,R-HSA-1461957,Beta defensins,Reactome,reactome,,,,['Beta defensins'],ok,
R-HSA-77352,R-HSA-77352,126161,R-HSA-77352,Beta oxidation of butanoyl-CoA to acetyl-CoA,Reactome,reactome,,,,['Beta oxidation of butanoyl-CoA to acetyl-CoA'],ok,
R-HSA-77346,R-HSA-77346,126162,R-HSA-77346,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,Reactome,reactome,,,,['Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA'],ok,
R-HSA-77350,R-HSA-77350,126163,R-HSA-77350,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Reactome,reactome,,,,['Beta oxidation of hexanoyl-CoA to butanoyl-CoA'],ok,
R-HSA-77310,R-HSA-77310,126164,R-HSA-77310,Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Reactome,reactome,,,,['Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA'],ok,
R-HSA-77285,R-HSA-77285,126165,R-HSA-77285,Beta oxidation of myristoyl-CoA to lauroyl-CoA,Reactome,reactome,,,,['Beta oxidation of myristoyl-CoA to lauroyl-CoA'],ok,
R-HSA-77348,R-HSA-77348,126166,R-HSA-77348,Beta oxidation of octanoyl-CoA to hexanoyl-CoA,Reactome,reactome,,,,['Beta oxidation of octanoyl-CoA to hexanoyl-CoA'],ok,
R-HSA-77305,R-HSA-77305,126167,R-HSA-77305,Beta oxidation of palmitoyl-CoA to myristoyl-CoA,Reactome,reactome,,,,['Beta oxidation of palmitoyl-CoA to myristoyl-CoA'],ok,
R-HSA-3858494,R-HSA-3858494,126168,R-HSA-3858494,Beta-catenin independent WNT signaling,Reactome,reactome,,,,['Beta-catenin independent WNT signaling'],ok,
R-HSA-196299,R-HSA-196299,126169,R-HSA-196299,Beta-catenin phosphorylation cascade,Reactome,reactome,,,,['Beta-catenin phosphorylation cascade'],ok,
R-HSA-9915355,R-HSA-9915355,126170,R-HSA-9915355,Beta-ketothiolase deficiency,Reactome,reactome,,,,['Beta-ketothiolase deficiency'],ok,
R-HSA-389887,R-HSA-389887,126171,R-HSA-389887,Beta-oxidation of pristanoyl-CoA,Reactome,reactome,,,,['Beta-oxidation of pristanoyl-CoA'],ok,
R-HSA-390247,R-HSA-390247,126172,R-HSA-390247,Beta-oxidation of very long chain fatty acids,Reactome,reactome,,,,['Beta-oxidation of very long chain fatty acids'],ok,
R-HSA-425381,R-HSA-425381,126173,R-HSA-425381,Bicarbonate transporters,Reactome,reactome,,,,['Bicarbonate transporters'],ok,
R-HSA-194068,R-HSA-194068,126174,R-HSA-194068,Bile acid and bile salt metabolism,Reactome,reactome,,,,['Bile acid and bile salt metabolism'],ok,
R-HSA-2173782,R-HSA-2173782,126175,R-HSA-2173782,Binding and Uptake of Ligands by Scavenger Receptors,Reactome,reactome,,,,['Binding and Uptake of Ligands by Scavenger Receptors'],ok,
R-HSA-173107,R-HSA-173107,126176,R-HSA-173107,Binding and entry of HIV virion,Reactome,reactome,,,,['Binding and entry of HIV virion'],ok,
R-HSA-4411364,R-HSA-4411364,126177,R-HSA-4411364,Binding of TCF/LEF:CTNNB1 to target gene promoters,Reactome,reactome,,,,['Binding of TCF/LEF:CTNNB1 to target gene promoters'],ok,
R-HSA-9931953,R-HSA-9931953,126178,R-HSA-9931953,Biofilm formation,Reactome,reactome,,,,['Biofilm formation'],ok,
R-HSA-141333,R-HSA-141333,126179,R-HSA-141333,Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB,Reactome,reactome,,,,['Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB'],ok,
R-HSA-211859,R-HSA-211859,126180,R-HSA-211859,Biological oxidations,Reactome,reactome,,,,['Biological oxidations'],ok,
R-HSA-2466712,R-HSA-2466712,126181,R-HSA-2466712,"Biosynthesis of A2E, implicated in retinal degradation",Reactome,reactome,,,,"['Biosynthesis of A2E, implicated in retinal degradation']",ok,
R-HSA-9018676,R-HSA-9018676,126182,R-HSA-9018676,Biosynthesis of D-series resolvins,Reactome,reactome,,,,['Biosynthesis of D-series resolvins'],ok,
R-HSA-9018677,R-HSA-9018677,126183,R-HSA-9018677,Biosynthesis of DHA-derived SPMs,Reactome,reactome,,,,['Biosynthesis of DHA-derived SPMs'],ok,
R-HSA-9026395,R-HSA-9026395,126184,R-HSA-9026395,Biosynthesis of DHA-derived sulfido conjugates,Reactome,reactome,,,,['Biosynthesis of DHA-derived sulfido conjugates'],ok,
R-HSA-9018683,R-HSA-9018683,126185,R-HSA-9018683,Biosynthesis of DPA-derived SPMs,Reactome,reactome,,,,['Biosynthesis of DPA-derived SPMs'],ok,
R-HSA-9025094,R-HSA-9025094,126186,R-HSA-9025094,Biosynthesis of DPAn-3 SPMs,Reactome,reactome,,,,['Biosynthesis of DPAn-3 SPMs'],ok,
R-HSA-9026403,R-HSA-9026403,126187,R-HSA-9026403,Biosynthesis of DPAn-3-derived 13-series resolvins,Reactome,reactome,,,,['Biosynthesis of DPAn-3-derived 13-series resolvins'],ok,
R-HSA-9026290,R-HSA-9026290,126188,R-HSA-9026290,Biosynthesis of DPAn-3-derived maresins,Reactome,reactome,,,,['Biosynthesis of DPAn-3-derived maresins'],ok,
R-HSA-9026286,R-HSA-9026286,126189,R-HSA-9026286,Biosynthesis of DPAn-3-derived protectins and resolvins,Reactome,reactome,,,,['Biosynthesis of DPAn-3-derived protectins and resolvins'],ok,
R-HSA-9025106,R-HSA-9025106,126190,R-HSA-9025106,Biosynthesis of DPAn-6 SPMs,Reactome,reactome,,,,['Biosynthesis of DPAn-6 SPMs'],ok,
R-HSA-9023661,R-HSA-9023661,126191,R-HSA-9023661,Biosynthesis of E-series 18(R)-resolvins,Reactome,reactome,,,,['Biosynthesis of E-series 18(R)-resolvins'],ok,
R-HSA-9018896,R-HSA-9018896,126192,R-HSA-9018896,Biosynthesis of E-series 18(S)-resolvins,Reactome,reactome,,,,['Biosynthesis of E-series 18(S)-resolvins'],ok,
R-HSA-9018679,R-HSA-9018679,126193,R-HSA-9018679,Biosynthesis of EPA-derived SPMs,Reactome,reactome,,,,['Biosynthesis of EPA-derived SPMs'],ok,
R-HSA-2142700,R-HSA-2142700,126194,R-HSA-2142700,Biosynthesis of Lipoxins (LX),Reactome,reactome,,,,['Biosynthesis of Lipoxins (LX)'],ok,
R-HSA-9020265,R-HSA-9020265,126195,R-HSA-9020265,Biosynthesis of aspirin-triggered D-series resolvins,Reactome,reactome,,,,['Biosynthesis of aspirin-triggered D-series resolvins'],ok,
R-HSA-9027604,R-HSA-9027604,126196,R-HSA-9027604,Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives,Reactome,reactome,,,,['Biosynthesis of electrophilic ω-3 PUFA oxo-derivatives'],ok,
R-HSA-9026762,R-HSA-9026762,126197,R-HSA-9026762,Biosynthesis of maresin conjugates in tissue regeneration (MCTR),Reactome,reactome,,,,['Biosynthesis of maresin conjugates in tissue regeneration (MCTR)'],ok,
R-HSA-9027307,R-HSA-9027307,126198,R-HSA-9027307,Biosynthesis of maresin-like SPMs,Reactome,reactome,,,,['Biosynthesis of maresin-like SPMs'],ok,
R-HSA-9018682,R-HSA-9018682,126199,R-HSA-9018682,Biosynthesis of maresins,Reactome,reactome,,,,['Biosynthesis of maresins'],ok,
R-HSA-9026766,R-HSA-9026766,126200,R-HSA-9026766,Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR),Reactome,reactome,,,,['Biosynthesis of protectin and resolvin conjugates in tissue regeneration (PCTR and RCTR)'],ok,
R-HSA-9018681,R-HSA-9018681,126201,R-HSA-9018681,Biosynthesis of protectins,Reactome,reactome,,,,['Biosynthesis of protectins'],ok,
R-HSA-9018678,R-HSA-9018678,126202,R-HSA-9018678,Biosynthesis of specialized proresolving mediators (SPMs),Reactome,reactome,,,,['Biosynthesis of specialized proresolving mediators (SPMs)'],ok,
R-HSA-446193,R-HSA-446193,126203,R-HSA-446193,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",Reactome,reactome,,,,"['Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein']",ok,
R-HSA-196780,R-HSA-196780,126204,R-HSA-196780,Biotin transport and metabolism,Reactome,reactome,,,,['Biotin transport and metabolism'],ok,
R-HSA-9636467,R-HSA-9636467,126205,R-HSA-9636467,Blockage of phagosome acidification,Reactome,reactome,,,,['Blockage of phagosome acidification'],ok,
R-HSA-9033658,R-HSA-9033658,126206,R-HSA-9033658,Blood group systems biosynthesis,Reactome,reactome,,,,['Blood group systems biosynthesis'],ok,
R-HSA-70895,R-HSA-70895,126207,R-HSA-70895,Branched-chain amino acid catabolism,Reactome,reactome,,,,['Branched-chain amino acid catabolism'],ok,
R-HSA-9912481,R-HSA-9912481,126208,R-HSA-9912481,Branched-chain ketoacid dehydrogenase kinase deficiency,Reactome,reactome,,,,['Branched-chain ketoacid dehydrogenase kinase deficiency'],ok,
R-HSA-352238,R-HSA-352238,126209,R-HSA-352238,Breakdown of the nuclear lamina,Reactome,reactome,,,,['Breakdown of the nuclear lamina'],ok,
R-HSA-168302,R-HSA-168302,126210,R-HSA-168302,Budding,Reactome,reactome,,,,['Budding'],ok,
R-HSA-162588,R-HSA-162588,126211,R-HSA-162588,Budding and maturation of HIV virion,Reactome,reactome,,,,['Budding and maturation of HIV virion'],ok,
R-HSA-450385,R-HSA-450385,126212,R-HSA-450385,Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA,Reactome,reactome,,,,['Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA'],ok,
R-HSA-8851680,R-HSA-8851680,126213,R-HSA-8851680,Butyrophilin (BTN) family interactions,Reactome,reactome,,,,['Butyrophilin (BTN) family interactions'],ok,
R-HSA-5621481,R-HSA-5621481,126214,R-HSA-5621481,C-type lectin receptors (CLRs),Reactome,reactome,,,,['C-type lectin receptors (CLRs)'],ok,
R-HSA-75102,R-HSA-75102,126215,R-HSA-75102,C6 deamination of adenosine,Reactome,reactome,,,,['C6 deamination of adenosine'],ok,
R-HSA-9948001,R-HSA-9948001,126216,R-HSA-9948001,CASP4 inflammasome assembly,Reactome,reactome,,,,['CASP4 inflammasome assembly'],ok,
R-HSA-9960519,R-HSA-9960519,126217,R-HSA-9960519,CASP4-mediated substrate cleavage,Reactome,reactome,,,,['CASP4-mediated substrate cleavage'],ok,
R-HSA-9948011,R-HSA-9948011,126218,R-HSA-9948011,CASP5 inflammasome assembly,Reactome,reactome,,,,['CASP5 inflammasome assembly'],ok,
R-HSA-9960525,R-HSA-9960525,126219,R-HSA-9960525,CASP5-mediated substrate cleavage,Reactome,reactome,,,,['CASP5-mediated substrate cleavage'],ok,
R-HSA-5218900,R-HSA-5218900,126220,R-HSA-5218900,CASP8 activity is inhibited,Reactome,reactome,,,,['CASP8 activity is inhibited'],ok,
R-HSA-9662834,R-HSA-9662834,126221,R-HSA-9662834,CD163 mediating an anti-inflammatory response,Reactome,reactome,,,,['CD163 mediating an anti-inflammatory response'],ok,
