id,entity_id,hgnc_status,hgnc_id,entrez_id,ensembl_id,data_source_id,locus_group_id,locus_type_id
34327,34327,Approved,HGNC:11293,6644.0,ENSG00000248660,1,3,3
34328,34328,Approved,HGNC:38734,100499485.0,ENSG00000224065,1,3,3
34329,34329,Approved,HGNC:38735,100861435.0,ENSG00000224953,1,3,3
34330,34330,Approved,HGNC:11295,6345.0,ENSG00000185739,1,1,1
34331,34331,Approved,HGNC:11296,6723.0,ENSG00000116649,1,1,1
34332,34332,Entry Withdrawn,HGNC:11297,,,1,4,4
34333,34333,Approved,HGNC:16552,170552.0,ENSG00000215448,1,3,3
34334,34334,Approved,HGNC:20034,326269.0,ENSG00000258485,1,3,3
34335,34335,Approved,HGNC:54681,100419085.0,ENSG00000229173,1,3,3
34336,34336,Approved,HGNC:11298,6725.0,ENSG00000125508,1,1,1
34337,34337,Approved,HGNC:11304,6726.0,ENSG00000143742,1,1,1
34338,34338,Approved,HGNC:23402,653226.0,ENSG00000180581,1,3,3
34339,34339,Approved,HGNC:11299,6727.0,ENSG00000140319,1,1,1
34340,34340,Approved,HGNC:48619,100131089.0,ENSG00000248508,1,2,2
34341,34341,Approved,HGNC:33181,390284.0,ENSG00000224906,1,3,3
34342,34342,Approved,HGNC:53768,111644132.0,ENSG00000234106,1,3,3
34343,34343,Approved,HGNC:53769,111644142.0,ENSG00000235183,1,3,3
34344,34344,Approved,HGNC:53770,111644147.0,ENSG00000268062,1,3,3
34345,34345,Approved,HGNC:56569,127482536.0,ENSG00000271052,1,3,3
34346,34346,Approved,HGNC:11300,6728.0,ENSG00000153037,1,1,1
34347,34347,Approved,HGNC:11301,6729.0,ENSG00000100883,1,1,1
34348,34348,Approved,HGNC:50643,100506157.0,ENSG00000258704,1,2,2
34349,34349,Approved,HGNC:11302,6730.0,ENSG00000167881,1,1,1
34350,34350,Approved,HGNC:30427,252841.0,ENSG00000266129,1,3,3
34351,34351,Approved,HGNC:30426,252840.0,ENSG00000227689,1,3,3
34352,34352,Approved,HGNC:30428,347717.0,ENSG00000237911,1,3,3
34353,34353,Approved,HGNC:11303,6731.0,ENSG00000174780,1,1,1
34354,34354,Approved,HGNC:31095,100420752.0,ENSG00000265182,1,3,3
34355,34355,Approved,HGNC:31096,153932.0,ENSG00000188451,1,3,3
34356,34356,Approved,HGNC:11305,6732.0,ENSG00000096063,1,1,1
34357,34357,Approved,HGNC:11306,6733.0,ENSG00000135250,1,1,1
34358,34358,Approved,HGNC:30303,100419416.0,ENSG00000253431,1,3,3
34359,34359,Approved,HGNC:11402,26576.0,ENSG00000184343,1,1,1
34360,34360,Approved,HGNC:11307,6734.0,ENSG00000182934,1,1,1
34361,34361,Approved,HGNC:24085,58477.0,ENSG00000144867,1,1,1
34362,34362,Approved,HGNC:11309,8406.0,ENSG00000101955,1,1,1
34363,34363,Approved,HGNC:30668,27286.0,ENSG00000102359,1,1,1
34364,34364,Approved,HGNC:14398,63826.0,ENSG00000167720,1,1,1
34365,34365,Approved,HGNC:33910,402055.0,ENSG00000100104,1,1,1
34366,34366,Approved,HGNC:16638,10250.0,ENSG00000133226,1,1,1
34367,34367,Approved,HGNC:31861,401475.0,,1,3,3
34368,34368,Approved,HGNC:38163,100420834.0,ENSG00000242195,1,3,3
34369,34369,Approved,HGNC:38164,100130190.0,ENSG00000237307,1,3,3
34370,34370,Approved,HGNC:16639,23524.0,ENSG00000167978,1,1,1
34371,34371,Approved,HGNC:44162,100128788.0,ENSG00000205913,1,2,2
34372,34372,Approved,HGNC:26729,222183.0,ENSG00000177679,1,1,1
34373,34373,Approved,HGNC:29389,84530.0,ENSG00000139767,1,1,1
34374,34374,Approved,HGNC:37248,100170229.0,ENSG00000226763,1,1,1
34375,34375,Approved,HGNC:24101,51593.0,ENSG00000087087,1,1,1
34376,34376,Approved,HGNC:10780,6426.0,ENSG00000136450,1,1,1
34377,34377,Approved,HGNC:39417,100128625.0,ENSG00000224640,1,3,3
34378,34378,Approved,HGNC:10783,6427.0,ENSG00000161547,1,1,1
34379,34379,Approved,HGNC:54922,392439.0,ENSG00000236072,1,3,3
34380,34380,Approved,HGNC:10785,6428.0,ENSG00000112081,1,1,1
34381,34381,Approved,HGNC:54691,100506569.0,ENSG00000257043,1,3,3
34382,34382,Approved,HGNC:54692,100500773.0,ENSG00000254079,1,3,3
34383,34383,Approved,HGNC:54693,100131114.0,ENSG00000224061,1,3,3
34384,34384,Approved,HGNC:54694,100128964.0,ENSG00000235325,1,3,3
34385,34385,Approved,HGNC:54695,107985790.0,ENSG00000233307,1,3,3
34386,34386,Approved,HGNC:10786,6429.0,ENSG00000116350,1,1,1
34387,34387,Approved,HGNC:10787,6430.0,ENSG00000100650,1,1,1
34388,34388,Approved,HGNC:10788,6431.0,ENSG00000124193,1,1,1
34389,34389,Approved,HGNC:54946,100128442.0,ENSG00000215286,1,3,3
34390,34390,Approved,HGNC:54947,644422.0,ENSG00000235554,1,3,3
34391,34391,Approved,HGNC:10789,6432.0,ENSG00000115875,1,1,1
34392,34392,Approved,HGNC:16988,10929.0,ENSG00000263465,1,1,1
34393,34393,Approved,HGNC:55910,643118.0,ENSG00000256779,1,3,3
34394,34394,Approved,HGNC:55911,647145.0,ENSG00000214754,1,3,3
34395,34395,Approved,HGNC:10791,8683.0,ENSG00000111786,1,1,1
34396,34396,Approved,HGNC:10792,54021.0,ENSG00000214867,1,3,3
34397,34397,Approved,HGNC:16713,10772.0,ENSG00000188529,1,1,1
34398,34398,Approved,HGNC:31002,100130799.0,ENSG00000267717,1,3,3
34399,34399,Approved,HGNC:24823,171472.0,ENSG00000215586,1,3,3
34400,34400,Approved,HGNC:10782,9295.0,ENSG00000116754,1,1,1
34401,34401,Approved,HGNC:49884,100421296.0,,1,3,3
